username,repo_name,stars,repo_url
mrdoob,three.js,80039,https://github.com/mrdoob/three.js
libgdx,libgdx,19751,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,17110,https://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,16101,https://github.com/BabylonJS/Babylon.js
aframevr,aframe,13894,https://github.com/aframevr/aframe
lettier,3d-game-shaders-for-beginners,12395,https://github.com/lettier/3d-game-shaders-for-beginners
ssloy,tinyrenderer,12235,https://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,10874,https://github.com/FreeCAD/FreeCAD
metafizzy,zdog,9044,https://github.com/metafizzy/zdog
CesiumGS,cesium,8378,https://github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,7697,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7072,https://github.com/a1studmuffin/SpaceshipGenerator
isl-org,Open3D,6322,https://github.com/isl-org/Open3D
blender,blender,4935,https://github.com/blender/blender
domlysz,BlenderGIS,4914,https://github.com/domlysz/BlenderGIS
spritejs,spritejs,4776,https://github.com/spritejs/spritejs
openscad,openscad,4674,https://github.com/openscad/openscad
tensorspace-team,tensorspace,4590,https://github.com/tensorspace-team/tensorspace
jagenjo,webglstudio.js,4574,https://github.com/jagenjo/webglstudio.js
YadiraF,PRNet,4550,https://github.com/YadiraF/PRNet
AaronJackson,vrn,4409,https://github.com/AaronJackson/vrn
ssloy,tinyraytracer,4073,https://github.com/ssloy/tinyraytracer
google,model-viewer,4058,https://github.com/google/model-viewer
mosra,magnum,3845,https://github.com/mosra/magnum
gfxfundamentals,webgl-fundamentals,3503,https://github.com/gfxfundamentals/webgl-fundamentals
FyroxEngine,Fyrox,3463,https://github.com/FyroxEngine/Fyrox
tengbao,vanta,3252,https://github.com/tengbao/vanta
cleardusk,3DDFA,3202,https://github.com/cleardusk/3DDFA
jasonlong,isometric-contributions,3139,https://github.com/jasonlong/isometric-contributions
cnr-isti-vclab,meshlab,2801,https://github.com/cnr-isti-vclab/meshlab
