username,repo_name,stars,repo_url
public-apis,public-apis,184807,https://github.com/public-apis/public-apis
neovim,neovim,51493,https://github.com/neovim/neovim
strapi,strapi,43647,https://github.com/strapi/strapi
tiangolo,fastapi,42882,https://github.com/tiangolo/fastapi
hoppscotch,hoppscotch,38748,https://github.com/hoppscotch/hoppscotch
slatedocs,slate,33787,https://github.com/slatedocs/slate
hasura,graphql-engine,26109,https://github.com/hasura/graphql-engine
YMFE,yapi,23734,https://github.com/YMFE/yapi
ccxt,ccxt,23607,https://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,23094,https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,22964,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,22064,https://github.com/littlecodersh/ItChat
paularmstrong,normalizr,20854,https://github.com/paularmstrong/normalizr
Kong,insomnia,20124,https://github.com/Kong/insomnia
FallibleInc,security-guide-for-developers,20103,https://github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,18711,https://github.com/microsoft/api-guidelines
pubkey,rxdb,17129,https://github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,16971,https://github.com/shieldfy/API-Security-Checklist
directus,directus,14229,https://github.com/directus/directus
ChainSafe,web3.js,13909,https://github.com/ChainSafe/web3.js
learn-anything,learn-anything,13698,https://github.com/learn-anything/learn-anything
youfou,wxpy,13175,https://github.com/youfou/wxpy
jsdoc,jsdoc,12747,https://github.com/jsdoc/jsdoc
BrainJS,brain.js,12472,https://github.com/BrainJS/brain.js
fangzesheng,free-api,11966,https://github.com/fangzesheng/free-api
OpenAPITools,openapi-generator,11492,https://github.com/OpenAPITools/openapi-generator
graphile,postgraphile,11146,https://github.com/graphile/postgraphile
go-chi,chi,11074,https://github.com/go-chi/chi
postmanlabs,httpbin,10634,https://github.com/postmanlabs/httpbin
star7th,showdoc,10281,https://github.com/star7th/showdoc
