username,repo_name,stars,repo_url
aspnetboilerplate,aspnetboilerplate,10224,https://github.com/aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,10205,https://github.com/dotnet/AspNetCore.Docs
bitwarden,server,9382,https://github.com/bitwarden/server
nopSolutions,nopCommerce,7058,https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6185,https://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,5012,https://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,4655,https://github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2461,https://github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2404,https://github.com/smartstore/SmartStoreNET
dotnet,aspnet-api-versioning,2195,https://github.com/dotnet/aspnet-api-versioning
loic-sharma,BaGet,1949,https://github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,1647,https://github.com/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,1455,https://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1195,https://github.com/TrilonIO/aspnetcore-Vue-starter
lampo1024,DncZeus,1172,https://github.com/lampo1024/DncZeus
MarimerLLC,csla,992,https://github.com/MarimerLLC/csla
riganti,dotvvm,600,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,592,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
json-api-dotnet,JsonApiDotNetCore,545,https://github.com/json-api-dotnet/JsonApiDotNetCore
antonioCoco,SharPyShell,529,https://github.com/antonioCoco/SharPyShell
chsakell,mvcarchitecture,453,https://github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,436,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,425,https://github.com/YAFNET/YAFNET
IvanJosipovic,BlazorTable,380,https://github.com/IvanJosipovic/BlazorTable
Maarten88,rrod,378,https://github.com/Maarten88/rrod
SapphireDb,SapphireDb,369,https://github.com/SapphireDb/SapphireDb
Taritsyn,WebMarkupMin,352,https://github.com/Taritsyn/WebMarkupMin
chsakell,aspnet-core-identity,337,https://github.com/chsakell/aspnet-core-identity
EEParker,aspnetcore-vueclimiddleware,321,https://github.com/EEParker/aspnetcore-vueclimiddleware
smartstore,Smartstore,286,https://github.com/smartstore/Smartstore
