username,repo_name,stars,repo_url
metafizzy,infinite-scroll,7047,https://github.com/metafizzy/infinite-scroll
ljianshu,Blog,6985,https://github.com/ljianshu/Blog
developit,unfetch,5291,https://github.com/developit/unfetch
jquery-form,form,5137,https://github.com/jquery-form/form
olifolkerd,tabulator,4434,https://github.com/olifolkerd/tabulator
Studio-42,elFinder,4227,https://github.com/Studio-42/elFinder
ded,reqwest,2918,https://github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2770,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
LeaVerou,bliss,2360,https://github.com/LeaVerou/bliss
elbywan,wretch,2356,https://github.com/elbywan/wretch
noelboss,featherlight,2047,https://github.com/noelboss/featherlight
wendux,Ajax-hook,1971,https://github.com/wendux/Ajax-hook
yisainan,web-interview,1962,https://github.com/yisainan/web-interview
craftpip,jquery-confirm,1784,https://github.com/craftpip/jquery-confirm
ptaoussanis,sente,1636,https://github.com/ptaoussanis/sente
joaomilho,Enterprise,1502,https://github.com/joaomilho/Enterprise
nette,tracy,1493,https://github.com/nette/tracy
u014427391,jeeplatform,1347,https://github.com/u014427391/jeeplatform
loadingio,css-spinner,1275,https://github.com/loadingio/css-spinner
MoOx,pjax,1252,https://github.com/MoOx/pjax
codingforentrepreneurs,eCommerce,1218,https://github.com/codingforentrepreneurs/eCommerce
danielm,uploader,1091,https://github.com/danielm/uploader
renderedtext,render_async,1031,https://github.com/renderedtext/render_async
swlib,saber,947,https://github.com/swlib/saber
proyecto26,RestClient,876,https://github.com/proyecto26/RestClient
k8w,tsrpc,857,https://github.com/k8w/tsrpc
webcreate,infinite-ajax-scroll,847,https://github.com/webcreate/infinite-ajax-scroll
opensource-socialnetwork,opensource-socialnetwork,842,https://github.com/opensource-socialnetwork/opensource-socialnetwork
rapidjs,rapid.js,709,https://github.com/rapidjs/rapid.js
csxiaoyaojianxian,JavaScriptStudy,599,https://github.com/csxiaoyaojianxian/JavaScriptStudy
