username,repo_name,stars,repo_url
jwasham,coding-interview-university,213048,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,147637,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,136791,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,131905,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,67143,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,56479,https://github.com/kdn251/interviews
azl397985856,leetcode,46962,https://github.com/azl397985856/leetcode
TheAlgorithms,Java,44907,https://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,36460,https://github.com/algorithm-visualizer/algorithm-visualizer
crossoverJie,JCSprout,26618,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,24914,https://github.com/donnemartin/interactive-coding-challenges
youngyangyang04,leetcode-master,24255,https://github.com/youngyangyang04/leetcode-master
halfrost,LeetCode-Go,23722,https://github.com/halfrost/LeetCode-Go
huihut,interview,23001,https://github.com/huihut/interview
keon,algorithms,20494,https://github.com/keon/algorithms
trekhleb,homemade-machine-learning,18960,https://github.com/trekhleb/homemade-machine-learning
TheAlgorithms,Javascript,18456,https://github.com/TheAlgorithms/Javascript
TheAlgorithms,C-Plus-Plus,18455,https://github.com/TheAlgorithms/C-Plus-Plus
mxgmn,WaveFunctionCollapse,17438,https://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,14622,https://github.com/AtsushiSakai/PythonRobotics
greyireland,algorithm-pattern,13275,https://github.com/greyireland/algorithm-pattern
OpenGenus,cosmos,12993,https://github.com/OpenGenus/cosmos
williamfiset,Algorithms,12153,https://github.com/williamfiset/Algorithms
halfrost,Halfrost-Field,10699,https://github.com/halfrost/Halfrost-Field
apachecn,apachecn-algo-zh,10533,https://github.com/apachecn/apachecn-algo-zh
lnishan,awesome-competitive-programming,9454,https://github.com/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,8353,https://github.com/Blankj/awesome-java-leetcode
jeffgerickson,algorithms,7461,https://github.com/jeffgerickson/algorithms
mgechev,javascript-algorithms,7125,https://github.com/mgechev/javascript-algorithms
LeetCode-OpenSource,vscode-leetcode,7120,https://github.com/LeetCode-OpenSource/vscode-leetcode
