username,repo_name,stars,repo_url
serverless,serverless,42318,https://github.com/serverless/serverless
localstack,localstack,39043,https://github.com/localstack/localstack
donnemartin,data-science-ipython-notebooks,22560,https://github.com/donnemartin/data-science-ipython-notebooks
bregman-arie,devops-exercises,21634,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,12554,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,12106,https://github.com/aws/aws-cli
kubernetes-sigs,kubespray,11957,https://github.com/kubernetes-sigs/kubespray
pulumi,pulumi,11671,https://github.com/pulumi/pulumi
donnemartin,awesome-aws,10153,https://github.com/donnemartin/awesome-aws
apereo,cas,9303,https://github.com/apereo/cas
mozilla,sops,9274,https://github.com/mozilla/sops
aws,chalice,8728,https://github.com/aws/chalice
aws-amplify,amplify-js,8639,https://github.com/aws-amplify/amplify-js
apex,up,8497,https://github.com/apex/up
aws,serverless-application-model,8444,https://github.com/aws/serverless-application-model
aws,aws-cdk,8369,https://github.com/aws/aws-cdk
google,go-cloud,8273,https://github.com/google/go-cloud
caprover,caprover,8263,https://github.com/caprover/caprover
angristan,openvpn-install,7639,https://github.com/angristan/openvpn-install
aws,aws-sdk-go,7518,https://github.com/aws/aws-sdk-go
boto,boto3,7082,https://github.com/boto/boto3
hashicorp,terraform-provider-aws,7008,https://github.com/hashicorp/terraform-provider-aws
aws,aws-sdk-js,6976,https://github.com/aws/aws-sdk-js
GoogleCloudPlatform,terraformer,6953,https://github.com/GoogleCloudPlatform/terraformer
aws,amazon-sagemaker-examples,6650,https://github.com/aws/amazon-sagemaker-examples
awslabs,aws-shell,6469,https://github.com/awslabs/aws-shell
gruntwork-io,terratest,5960,https://github.com/gruntwork-io/terratest
99designs,aws-vault,5959,https://github.com/99designs/aws-vault
aws,aws-sam-cli,5911,https://github.com/aws/aws-sam-cli
gruntwork-io,terragrunt,5668,https://github.com/gruntwork-io/terragrunt
