username,repo_name,stars,repo_url
amphp,amp,3547,https://github.com/amphp/amp
danog,MadelineProto,1859,https://github.com/danog/MadelineProto
amphp,http-server,1168,https://github.com/amphp/http-server
unreal4u,telegram-api,696,https://github.com/unreal4u/telegram-api
amphp,http-client,600,https://github.com/amphp/http-client
amphp,parallel,570,https://github.com/amphp/parallel
php-service-bus,service-bus,316,https://github.com/php-service-bus/service-bus
amphp,byte-stream,277,https://github.com/amphp/byte-stream
amphp,mysql,267,https://github.com/amphp/mysql
amphp,parallel-functions,220,https://github.com/amphp/parallel-functions
amphp,process,163,https://github.com/amphp/process
amphp,socket,152,https://github.com/amphp/socket
amphp,redis,122,https://github.com/amphp/redis
amphp,dns,110,https://github.com/amphp/dns
kelunik,acme,106,https://github.com/kelunik/acme
amphp,sync,100,https://github.com/amphp/sync
amphp,websocket-client,98,https://github.com/amphp/websocket-client
PeeHaa,mailgrab,91,https://github.com/PeeHaa/mailgrab
amphp,websocket-server,74,https://github.com/amphp/websocket-server
amphp,file,72,https://github.com/amphp/file
jolicode,asynit,68,https://github.com/jolicode/asynit
amphp,cache,66,https://github.com/amphp/cache
amphp,serialization,65,https://github.com/amphp/serialization
amphp,postgres,63,https://github.com/amphp/postgres
amphp,windows-registry,61,https://github.com/amphp/windows-registry
amphp,hpack,60,https://github.com/amphp/hpack
amphp,beanstalk,57,https://github.com/amphp/beanstalk
phpinnacle,ridge,45,https://github.com/phpinnacle/ridge
amphp,aerys,42,https://github.com/amphp/aerys
amphp,cluster,41,https://github.com/amphp/cluster
