username,repo_name,stars,repo_url
flutter,flutter,137341,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,88004,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,62416,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,49835,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,45256,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,42235,https://github.com/wasabeef/awesome-android-ui
square,okhttp,41750,https://github.com/square/okhttp
android,architecture-samples,40306,https://github.com/android/architecture-samples
Solido,awesome-flutter,39739,https://github.com/Solido/awesome-flutter
square,retrofit,39677,https://github.com/square/retrofit
PhilJay,MPAndroidChart,34762,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,34226,https://github.com/fastlane/fastlane
airbnb,lottie-android,32517,https://github.com/airbnb/lottie-android
shadowsocks,shadowsocks-android,32369,https://github.com/shadowsocks/shadowsocks-android
bumptech,glide,32332,https://github.com/bumptech/glide
Trinea,android-open-project,30871,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,30508,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,30262,https://github.com/xitu/gold-miner
bilibili,ijkplayer,30103,https://github.com/bilibili/ijkplayer
skylot,jadx,29351,https://github.com/skylot/jadx
zxing,zxing,29264,https://github.com/zxing/zxing
laurent22,joplin,28585,https://github.com/laurent22/joplin
codepath,android_guides,27692,https://github.com/codepath/android_guides
square,leakcanary,27295,https://github.com/square/leakcanary
alibaba,fastjson,24178,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,23343,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22660,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,22088,https://github.com/react-native-elements/react-native-elements
google,iosched,21182,https://github.com/google/iosched
NativeScript,NativeScript,20989,https://github.com/NativeScript/NativeScript
