username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,88004,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,80135,https://github.com/angular/angular
storybookjs,storybook,69265,https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,47645,https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,46520,https://github.com/ionic-team/ionic-framework
prettier,prettier,42118,https://github.com/prettier/prettier
SheetJS,sheetjs,29313,https://github.com/SheetJS/sheetjs
angular,angular-cli,25262,https://github.com/angular/angular-cli
angular,components,22544,https://github.com/angular/components
NativeScript,NativeScript,20989,https://github.com/NativeScript/NativeScript
jhipster,generator-jhipster,19362,https://github.com/jhipster/generator-jhipster
pubkey,rxdb,17129,https://github.com/pubkey/rxdb
handsontable,handsontable,16358,https://github.com/handsontable/handsontable
teambit,bit,14870,https://github.com/teambit/bit
goldbergyoni,javascript-testing-best-practices,14673,https://github.com/goldbergyoni/javascript-testing-best-practices
sweetalert2,sweetalert2,14257,https://github.com/sweetalert2/sweetalert2
linnovate,mean,12144,https://github.com/linnovate/mean
codesandbox,codesandbox-client,11297,https://github.com/codesandbox/codesandbox-client
nrwl,nx,11284,https://github.com/nrwl/nx
Chocobozzz,PeerTube,10397,https://github.com/Chocobozzz/PeerTube
PatrickJS,angular-starter,10392,https://github.com/PatrickJS/angular-starter
angular,protractor,8789,https://github.com/angular/protractor
sudheerj,javascript-interview-questions,8711,https://github.com/sudheerj/javascript-interview-questions
OnsenUI,OnsenUI,8552,https://github.com/OnsenUI/OnsenUI
dotansimha,graphql-code-generator,8420,https://github.com/dotansimha/graphql-code-generator
PatrickJS,awesome-angular,8241,https://github.com/PatrickJS/awesome-angular
text-mask,text-mask,8118,https://github.com/text-mask/text-mask
ag-grid,ag-grid,8084,https://github.com/ag-grid/ag-grid
NG-ZORRO,ng-zorro-antd,8047,https://github.com/NG-ZORRO/ng-zorro-antd
jasontaylordev,CleanArchitecture,7995,https://github.com/jasontaylordev/CleanArchitecture
