username,repo_name,stars,repo_url
ansible,ansible,52390,https://github.com/ansible/ansible
trailofbits,algo,24857,https://github.com/trailofbits/algo
StreisandEffect,streisand,22681,https://github.com/StreisandEffect/streisand
bregman-arie,devops-exercises,21634,https://github.com/bregman-arie/devops-exercises
kubernetes-sigs,kubespray,11957,https://github.com/kubernetes-sigs/kubespray
ansible,awx,10745,https://github.com/ansible/awx
easzlab,kubeasz,7864,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,5530,https://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,5480,https://github.com/khuedoan/homelab
ansible-semaphore,semaphore,4768,https://github.com/ansible-semaphore/semaphore
rundeck,rundeck,4508,https://github.com/rundeck/rundeck
geerlingguy,mac-dev-playbook,4405,https://github.com/geerlingguy/mac-dev-playbook
Tikam02,DevOps-Guide,4394,https://github.com/Tikam02/DevOps-Guide
KubeOperator,KubeOperator,4170,https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,3420,https://github.com/clong/DetectionLab
ansible-community,molecule,3310,https://github.com/ansible-community/molecule
opendevops-cn,opendevops,3095,https://github.com/opendevops-cn/opendevops
MichaelCade,90DaysOfDevOps,3055,https://github.com/MichaelCade/90DaysOfDevOps
werf,werf,3018,https://github.com/werf/werf
netbootxyz,netboot.xyz,2916,https://github.com/netbootxyz/netboot.xyz
welliamcao,OpsManage,2901,https://github.com/welliamcao/OpsManage
ansible-community,ansible-lint,2717,https://github.com/ansible-community/ansible-lint
dev-sec,ansible-collection-hardening,2658,https://github.com/dev-sec/ansible-collection-hardening
alixaxel,chrome-aws-lambda,2595,https://github.com/alixaxel/chrome-aws-lambda
litmuschaos,litmus,2563,https://github.com/litmuschaos/litmus
roots,trellis,2317,https://github.com/roots/trellis
ansistrano,deploy,2166,https://github.com/ansistrano/deploy
openshift,openshift-ansible,2050,https://github.com/openshift/openshift-ansible
fboender,ansible-cmdb,2043,https://github.com/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,2020,https://github.com/pytest-dev/pytest-testinfra
