username,repo_name,stars,repo_url
arendst,Tasmota,17249,https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,12760,https://github.com/MarlinFirmware/Marlin
arduino,Arduino,12635,https://github.com/arduino/Arduino
rwaldron,johnny-five,12568,https://github.com/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,9711,https://github.com/SpacehuhnTech/esp8266_deauther
tinygo-org,tinygo,9538,https://github.com/tinygo-org/tinygo
espressif,arduino-esp32,8237,https://github.com/espressif/arduino-esp32
hybridgroup,gobot,7637,https://github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,7397,https://github.com/gurugio/lowlevelprogramming-university
platformio,platformio-core,5726,https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,5575,https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,5072,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,3890,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3576,https://github.com/Arduino-IRremote/Arduino-IRremote
blynkkk,blynk-library,3376,https://github.com/blynkkk/blynk-library
arduino,arduino-cli,3309,https://github.com/arduino/arduino-cli
NectarJS,nectarjs,3183,https://github.com/NectarJS/nectarjs
olikraus,u8g2,2902,https://github.com/olikraus/u8g2
gioblu,PJON,2639,https://github.com/gioblu/PJON
1technophile,OpenMQTTGateway,2510,https://github.com/1technophile/OpenMQTTGateway
Serial-Studio,Serial-Studio,2330,https://github.com/Serial-Studio/Serial-Studio
scottlawsonbc,audio-reactive-led-strip,2271,https://github.com/scottlawsonbc/audio-reactive-led-strip
isl-org,OpenBot,2104,https://github.com/isl-org/OpenBot
scottbez1,splitflap,2046,https://github.com/scottbez1/splitflap
crankyoldgit,IRremoteESP8266,2044,https://github.com/crankyoldgit/IRremoteESP8266
nRF24,RF24,1850,https://github.com/nRF24/RF24
stm32duino,Arduino_Core_STM32,1804,https://github.com/stm32duino/Arduino_Core_STM32
Bodmer,TFT_eSPI,1747,https://github.com/Bodmer/TFT_eSPI
blinker-iot,blinker-library,1717,https://github.com/blinker-iot/blinker-library
ThingPulse,esp8266-oled-ssd1306,1642,https://github.com/ThingPulse/esp8266-oled-ssd1306
