username,repo_name,stars,repo_url
atom,atom,56983,https://github.com/atom/atom
themerdev,themer,4590,https://github.com/themerdev/themer
nteract,hydrogen,3782,https://github.com/nteract/hydrogen
shd101wyy,markdown-preview-enhanced,3585,https://github.com/shd101wyy/markdown-preview-enhanced
miniflux,v2,3411,https://github.com/miniflux/v2
atom,teletype,2357,https://github.com/atom/teletype
mehcode,awesome-atom,1864,https://github.com/mehcode/awesome-atom
mmcdole,gofeed,1829,https://github.com/mmcdole/gofeed
joefitzgerald,go-plus,1513,https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1507,https://github.com/Glavin001/atom-beautify
simplepie,simplepie,1433,https://github.com/simplepie/simplepie
t9md,atom-vim-mode-plus,1410,https://github.com/t9md/atom-vim-mode-plus
kurtmckee,feedparser,1380,https://github.com/kurtmckee/feedparser
ocaml,merlin,1376,https://github.com/ocaml/merlin
MagicStack,MagicPython,1307,https://github.com/MagicStack/MagicPython
atom,apm,1242,https://github.com/atom/apm
file-icons,atom,1186,https://github.com/file-icons/atom
kettanaito,atomic-layout,1060,https://github.com/kettanaito/atomic-layout
atom,github,1007,https://github.com/atom/github
nmdias,FeedKit,965,https://github.com/nmdias/FeedKit
nathanbuchar,atom-one-dark-terminal,950,https://github.com/nathanbuchar/atom-one-dark-terminal
danhper,atomic-chrome,927,https://github.com/danhper/atomic-chrome
jesseweed,seti-ui,891,https://github.com/jesseweed/seti-ui
fwcd,kotlin-language-server,883,https://github.com/fwcd/kotlin-language-server
prettier,prettier-atom,773,https://github.com/prettier/prettier-atom
raphamorim,lucario,739,https://github.com/raphamorim/lucario
atom-community,atom-script,735,https://github.com/atom-community/atom-script
jpmonette,feed,731,https://github.com/jpmonette/feed
jasonmunro,cypht,704,https://github.com/jasonmunro/cypht
jekyll,jekyll-feed,696,https://github.com/jekyll/jekyll-feed
