username,repo_name,stars,repo_url
sindresorhus,awesome,192913,https://github.com/sindresorhus/awesome
vinta,awesome-python,119316,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,79799,https://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,76804,https://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,62377,https://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,53426,https://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,53039,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,49835,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,48117,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,45381,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,44009,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,42235,https://github.com/wasabeef/awesome-android-ui
Solido,awesome-flutter,39739,https://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,39476,https://github.com/prakhar1989/awesome-courses
vsouza,awesome-ios,39118,https://github.com/vsouza/awesome-ios
MunGell,awesome-for-beginners,39053,https://github.com/MunGell/awesome-for-beginners
binhnguyennus,awesome-scalability,37608,https://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,36246,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,33951,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,33302,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,31551,https://github.com/akullpp/awesome-java
serhii-londar,open-source-mac-os-apps,29724,https://github.com/serhii-londar/open-source-mac-os-apps
dkhamsing,open-source-ios-apps,29604,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,29226,https://github.com/brillout/awesome-react-components
ziadoz,awesome-php,26301,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25630,https://github.com/herrbischoff/awesome-macos-command-line
rust-unofficial,awesome-rust,24711,https://github.com/rust-unofficial/awesome-rust
goabstract,Awesome-Design-Tools,23991,https://github.com/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,23109,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,22479,https://github.com/sindresorhus/awesome-electron
