username,repo_name,stars,repo_url
bregman-arie,devops-exercises,21634,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,12554,https://github.com/ramitsurana/awesome-kubernetes
microsoft,recommenders,12550,https://github.com/microsoft/recommenders
pulumi,pulumi,11671,https://github.com/pulumi/pulumi
Azure,azure-quickstart-templates,11542,https://github.com/Azure/azure-quickstart-templates
mozilla,sops,9274,https://github.com/mozilla/sops
microsoft,computervision-recipes,8330,https://github.com/microsoft/computervision-recipes
google,go-cloud,8273,https://github.com/google/go-cloud
caprover,caprover,8263,https://github.com/caprover/caprover
microsoft,azuredatastudio,6696,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,6136,https://github.com/node-formidable/formidable
infracost,infracost,5544,https://github.com/infracost/infracost
midwayjs,midway,5426,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,4655,https://github.com/thangchung/clean-code-dotnet
budtmo,docker-android,4277,https://github.com/budtmo/docker-android
aquasecurity,tfsec,4060,https://github.com/aquasecurity/tfsec
cloud-custodian,cloud-custodian,4047,https://github.com/cloud-custodian/cloud-custodian
nccgroup,ScoutSuite,4026,https://github.com/nccgroup/ScoutSuite
bridgecrewio,checkov,3886,https://github.com/bridgecrewio/checkov
Azure,autorest,3685,https://github.com/Azure/autorest
simov,grant,3577,https://github.com/simov/grant
Azure,azure-sdk-for-net,3363,https://github.com/Azure/azure-sdk-for-net
microsoft,SynapseML,3216,https://github.com/microsoft/SynapseML
hashicorp,terraform-provider-azurerm,3184,https://github.com/hashicorp/terraform-provider-azurerm
Azure,azure-powershell,2979,https://github.com/Azure/azure-powershell
Azure,azure-cli,2967,https://github.com/Azure/azure-cli
Azure,MachineLearningNotebooks,2899,https://github.com/Azure/MachineLearningNotebooks
mlabouardy,komiser,2724,https://github.com/mlabouardy/komiser
APIs-guru,openapi-directory,2704,https://github.com/APIs-guru/openapi-directory
Azure,azure-sdk-for-python,2559,https://github.com/Azure/azure-sdk-for-python
