username,repo_name,stars,repo_url
babel,babel,40547,https://github.com/babel/babel
nylas,nylas-mail,24653,https://github.com/nylas/nylas-mail
kriasoft,react-starter-kit,21133,https://github.com/kriasoft/react-starter-kit
swc-project,swc,20958,https://github.com/swc-project/swc
avajs,ava,19652,https://github.com/avajs/ava
electron-react-boilerplate,electron-react-boilerplate,19146,https://github.com/electron-react-boilerplate/electron-react-boilerplate
SimulatedGREG,electron-vue,14795,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14266,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,10803,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,7817,https://github.com/grommet/grommet
developit,htm,7459,https://github.com/developit/htm
angular-fullstack,generator-angular-fullstack,6135,https://github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,5476,https://github.com/documentationjs/documentation
ben-rogerson,twin.macro,5472,https://github.com/ben-rogerson/twin.macro
insin,nwb,5445,https://github.com/insin/nwb
egoist,poi,5285,https://github.com/egoist/poi
thinkjs,thinkjs,5268,https://github.com/thinkjs/thinkjs
transitive-bullshit,create-react-library,4620,https://github.com/transitive-bullshit/create-react-library
babel,babel-loader,4607,https://github.com/babel/babel-loader
fkling,astexplorer,4524,https://github.com/fkling/astexplorer
duxianwei520,react,4478,https://github.com/duxianwei520/react
jaredpalmer,backpack,4462,https://github.com/jaredpalmer/backpack
babel,minify,4322,https://github.com/babel/minify
tleunen,babel-plugin-module-resolver,3169,https://github.com/tleunen/babel-plugin-module-resolver
thx,gogocode,2992,https://github.com/thx/gogocode
andywer,webpack-blocks,2985,https://github.com/andywer/webpack-blocks
babel,babel-eslint,2971,https://github.com/babel/babel-eslint
kunalkapadia,express-mongoose-es6-rest-api,2834,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
privatenumber,esbuild-loader,2753,https://github.com/privatenumber/esbuild-loader
uidotdev,react-course,2457,https://github.com/uidotdev/react-course
