username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,103870,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,55988,https://github.com/nvm-sh/nvm
junegunn,fzf,42562,https://github.com/junegunn/fzf
dylanaraps,pure-bash-bible,30625,https://github.com/dylanaraps/pure-bash-bible
google,zx,29608,https://github.com/google/zx
koalaman,shellcheck,28090,https://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,27551,https://github.com/mathiasbynens/dotfiles
LeCoupa,awesome-cheatsheets,27394,https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,25690,https://github.com/acmesh-official/acme.sh
starship,starship,23339,https://github.com/starship/starship
alebcay,awesome-shell,23109,https://github.com/alebcay/awesome-shell
jaywcjlove,linux-command,18115,https://github.com/jaywcjlove/linux-command
Nyr,openvpn-install,14671,https://github.com/Nyr/openvpn-install
dylanaraps,neofetch,14511,https://github.com/dylanaraps/neofetch
rbenv,rbenv,14010,https://github.com/rbenv/rbenv
powerline,powerline,13158,https://github.com/powerline/powerline
shelljs,shelljs,13080,https://github.com/shelljs/shelljs
Bash-it,bash-it,12830,https://github.com/Bash-it/bash-it
withfig,autocomplete,12564,https://github.com/withfig/autocomplete
faressoft,terminalizer,12415,https://github.com/faressoft/terminalizer
jessfraz,dockerfiles,12394,https://github.com/jessfraz/dockerfiles
denisidoro,navi,10360,https://github.com/denisidoro/navi
codota,TabNine,9020,https://github.com/codota/TabNine
rgcr,m-cli,8778,https://github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,8641,https://github.com/alexanderepstein/Bash-Snippets
direnv,direnv,8507,https://github.com/direnv/direnv
kanaka,mal,8482,https://github.com/kanaka/mal
skywind3000,awesome-cheatsheets,8243,https://github.com/skywind3000/awesome-cheatsheets
carlospolop,PEASS-ng,8050,https://github.com/carlospolop/PEASS-ng
angristan,openvpn-install,7639,https://github.com/angristan/openvpn-install
