username,repo_name,stars,repo_url
bitcoin,bitcoin,62397,https://github.com/bitcoin/bitcoin
ccxt,ccxt,23607,https://github.com/ccxt/ccxt
HelloZeroNet,ZeroNet,17366,https://github.com/HelloZeroNet/ZeroNet
freqtrade,freqtrade,16631,https://github.com/freqtrade/freqtrade
askmike,gekko,9862,https://github.com/askmike/gekko
bbfamily,abu,8838,https://github.com/bbfamily/abu
solana-labs,solana,7580,https://github.com/solana-labs/solana
lbryio,lbry-sdk,7138,https://github.com/lbryio/lbry-sdk
dvf,blockchain,6738,https://github.com/dvf/blockchain
yeasy,blockchain_guide,6000,https://github.com/yeasy/blockchain_guide
lightningnetwork,lnd,5865,https://github.com/lightningnetwork/lnd
spesmilo,electrum,5533,https://github.com/spesmilo/electrum
butor,blackbird,5504,https://github.com/butor/blackbird
btcsuite,btcd,4682,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4519,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4235,https://github.com/bitcoinj/bitcoinj
bisq-network,bisq,3895,https://github.com/bisq-network/bisq
CryptoSignal,Crypto-Signal,3866,https://github.com/CryptoSignal/Crypto-Signal
michaelgrosner,tribeca,3687,https://github.com/michaelgrosner/tribeca
jesse-ai,jesse,3668,https://github.com/jesse-ai/jesse
coinpride,CryptoList,3662,https://github.com/coinpride/CryptoList
Scanate,EthList,3622,https://github.com/Scanate/EthList
RomelTorres,alpha_vantage,3609,https://github.com/RomelTorres/alpha_vantage
Zheaoli,awesome-coins,3515,https://github.com/Zheaoli/awesome-coins
bitpay,wallet,3439,https://github.com/bitpay/wallet
btcpayserver,btcpayserver,3352,https://github.com/btcpayserver/btcpayserver
Jeiwan,blockchain_go,3256,https://github.com/Jeiwan/blockchain_go
SqueezerIO,squeezer,3253,https://github.com/SqueezerIO/squeezer
cointop-sh,cointop,3064,https://github.com/cointop-sh/cointop
bitcoin-wallet,bitcoin-wallet,2767,https://github.com/bitcoin-wallet/bitcoin-wallet
