username,repo_name,stars,repo_url
ccxt,ccxt,23607,https://github.com/ccxt/ccxt
discordjs,discord.js,18323,https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,17891,https://github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,16105,https://github.com/hubotio/hubot
InstaPy,InstaPy,13952,https://github.com/InstaPy/InstaPy
RasaHQ,rasa,13687,https://github.com/RasaHQ/rasa
wechaty,wechaty,12258,https://github.com/wechaty/wechaty
gunthercox,ChatterBot,12061,https://github.com/gunthercox/ChatterBot
howdyai,botkit,10657,https://github.com/howdyai/botkit
botpress,botpress,9604,https://github.com/botpress/botpress
tgbot-collection,YYeTsBot,8848,https://github.com/tgbot-collection/YYeTsBot
sfyc23,EverydayWechat,8825,https://github.com/sfyc23/EverydayWechat
leon-ai,leon,8553,https://github.com/leon-ai/leon
microsoft,ailab,6968,https://github.com/microsoft/ailab
EZFNDEV,EZFN-Lobbybot,6878,https://github.com/EZFNDEV/EZFN-Lobbybot
microsoft,botframework-sdk,6739,https://github.com/microsoft/botframework-sdk
maxbbraun,trump2cash,6084,https://github.com/maxbbraun/trump2cash
yagop,node-telegram-bot-api,5979,https://github.com/yagop/node-telegram-bot-api
deepmipt,DeepPavlov,5640,https://github.com/deepmipt/DeepPavlov
botman,botman,5598,https://github.com/botman/botman
telegraf,telegraf,5394,https://github.com/telegraf/telegraf
pedroslopez,whatsapp-web.js,5190,https://github.com/pedroslopez/whatsapp-web.js
axa-group,nlp.js,4806,https://github.com/axa-group/nlp.js
jef,streetmerchant,4778,https://github.com/jef/streetmerchant
Mrs4s,go-cqhttp,4151,https://github.com/Mrs4s/go-cqhttp
ohld,igbot,4146,https://github.com/ohld/igbot
Yoctol,bottender,3858,https://github.com/Yoctol/bottender
PokemonGoF,PokemonGo-Bot,3736,https://github.com/PokemonGoF/PokemonGo-Bot
chrisleekr,binance-trading-bot,3696,https://github.com/chrisleekr/binance-trading-bot
orkestral,venom,3672,https://github.com/orkestral/venom
