username,repo_name,stars,repo_url
CyC2018,CS-Notes,147637,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,64128,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,46962,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,38196,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,36246,https://github.com/fffaraz/awesome-cpp
youngyangyang04,leetcode-master,24255,https://github.com/youngyangyang04/leetcode-master
microsoft,calculator,23948,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,23526,https://github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,23001,https://github.com/huihut/interview
yuzu-emu,yuzu,19388,https://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,18455,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,16759,https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,15292,https://github.com/ethereum/solidity
microsoft,vcpkg,15105,https://github.com/microsoft/vcpkg
catchorg,Catch2,14636,https://github.com/catchorg/Catch2
gabime,spdlog,14023,https://github.com/gabime/spdlog
AnthonyCalandra,modern-cpp-features,13678,https://github.com/AnthonyCalandra/modern-cpp-features
Qv2ray,Qv2ray,13251,https://github.com/Qv2ray/Qv2ray
doocs,leetcode,13148,https://github.com/doocs/leetcode
facebook,infer,13088,https://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12487,https://github.com/CoatiSoftware/Sourcetrail
ssloy,tinyrenderer,12235,https://github.com/ssloy/tinyrenderer
google,tink,12192,https://github.com/google/tink
antlr,antlr4,11727,https://github.com/antlr/antlr4
kyleneideck,BackgroundMusic,11070,https://github.com/kyleneideck/BackgroundMusic
SFTtech,openage,10886,https://github.com/SFTtech/openage
compiler-explorer,compiler-explorer,10303,https://github.com/compiler-explorer/compiler-explorer
OpenRCT2,OpenRCT2,10299,https://github.com/OpenRCT2/OpenRCT2
Ciphey,Ciphey,9539,https://github.com/Ciphey/Ciphey
hmemcpy,milewski-ctfp-pdf,9259,https://github.com/hmemcpy/milewski-ctfp-pdf
