username,repo_name,stars,repo_url
Genymobile,scrcpy,62416,https://github.com/Genymobile/scrcpy
neovim,neovim,51493,https://github.com/neovim/neovim
git,git,41328,https://github.com/git/git
obsproject,obs-studio,36776,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,36246,https://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,29724,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,28571,https://github.com/FFmpeg/FFmpeg
vim,vim,26446,https://github.com/vim/vim
curl,curl,23937,https://github.com/curl/curl
ggreer,the_silver_searcher,23371,https://github.com/ggreer/the_silver_searcher
huihut,interview,23001,https://github.com/huihut/interview
ruby,ruby,18943,https://github.com/ruby/ruby
mpv-player,mpv,18040,https://github.com/mpv-player/mpv
pbatard,rufus,17735,https://github.com/pbatard/rufus
google,flatbuffers,17588,https://github.com/google/flatbuffers
ossrs,srs,17428,https://github.com/ossrs/srs
oracle,graal,16707,https://github.com/oracle/graal
radareorg,radare2,15927,https://github.com/radareorg/radare2
microsoft,vcpkg,15105,https://github.com/microsoft/vcpkg
shadowsocks,shadowsocks-libev,14784,https://github.com/shadowsocks/shadowsocks-libev
allinurl,goaccess,14445,https://github.com/allinurl/goaccess
kovidgoyal,kitty,13977,https://github.com/kovidgoyal/kitty
jarun,nnn,13642,https://github.com/jarun/nnn
vurtun,nuklear,13400,https://github.com/vurtun/nuklear
facebook,infer,13088,https://github.com/facebook/infer
TheAlgorithms,C,12639,https://github.com/TheAlgorithms/C
CoatiSoftware,Sourcetrail,12487,https://github.com/CoatiSoftware/Sourcetrail
hashcat,hashcat,11857,https://github.com/hashcat/hashcat
qmk,qmk_firmware,11802,https://github.com/qmk/qmk_firmware
s-matyukevich,raspberry-pi-os,11251,https://github.com/s-matyukevich/raspberry-pi-os
