username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,28420,https://github.com/CSSEGISandData/COVID-19
covid19india,covid19india-react,6876,https://github.com/covid19india/covid19india-react
nytimes,covid-19-data,6793,https://github.com/nytimes/covid-19-data
tokyo-metropolitan-gov,covid19,6317,https://github.com/tokyo-metropolitan-gov/covid19
owid,covid-19-data,5107,https://github.com/owid/covid-19-data
pcm-dpc,COVID-19,3923,https://github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,2785,https://github.com/ieee8023/covid-chestxray-dataset
disease-sh,API,2357,https://github.com/disease-sh/API
geohot,corona,2172,https://github.com/geohot/corona
WorldHealthOrganization,app,2088,https://github.com/WorldHealthOrganization/app
ahmadawais,corona-cli,1828,https://github.com/ahmadawais/corona-cli
corona-warn-app,cwa-server,1815,https://github.com/corona-warn-app/cwa-server
ExpDev07,coronavirus-tracker-api,1585,https://github.com/ExpDev07/coronavirus-tracker-api
github,covid19-dashboard,1521,https://github.com/github/covid19-dashboard
soroushchehresa,awesome-coronavirus,1477,https://github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,1458,https://github.com/mhdhejazi/CoronaTracker
neherlab,covid19_scenarios,1381,https://github.com/neherlab/covid19_scenarios
covidpass-org,covidpass,1241,https://github.com/covidpass-org/covidpass
pomber,covid19,1224,https://github.com/pomber/covid19
chandrikadeb7,Face-Mask-Detection,1202,https://github.com/chandrikadeb7/Face-Mask-Detection
chrismattmann,tika-python,1144,https://github.com/chrismattmann/tika-python
datasets,covid-19,1140,https://github.com/datasets/covid-19
FoldingAtHome,coronavirus,1115,https://github.com/FoldingAtHome/coronavirus
lindawangg,COVID-Net,1081,https://github.com/lindawangg/COVID-Net
cyberman54,ESP32-Paxcounter,989,https://github.com/cyberman54/ESP32-Paxcounter
ImperialCollegeLondon,covid19model,944,https://github.com/ImperialCollegeLondon/covid19model
UCSD-AI4H,COVID-CT,939,https://github.com/UCSD-AI4H/COVID-CT
MoH-Malaysia,covid19-public,917,https://github.com/MoH-Malaysia/covid19-public
nychealth,coronavirus-data,910,https://github.com/nychealth/coronavirus-data
cirosantilli,china-dictatorship,784,https://github.com/cirosantilli/china-dictatorship
