username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,23798,https://github.com/iamadamdev/bypass-paywalls-chrome
refined-github,refined-github,17221,https://github.com/refined-github/refined-github
checkly,headless-recorder,13967,https://github.com/checkly/headless-recorder
darkreader,darkreader,13230,https://github.com/darkreader/darkreader
unbug,codelf,12348,https://github.com/unbug/codelf
crimx,ext-saladict,8797,https://github.com/crimx/ext-saladict
Anarios,return-youtube-dislike,8584,https://github.com/Anarios/return-youtube-dislike
listen1,listen1_chrome_extension,8208,https://github.com/listen1/listen1_chrome_extension
appbaseio,dejavu,7674,https://github.com/appbaseio/dejavu
gildas-lormeau,SingleFile,7568,https://github.com/gildas-lormeau/SingleFile
alyssaxuu,screenity,6686,https://github.com/alyssaxuu/screenity
dailydotdev,daily,5945,https://github.com/dailydotdev/daily
Kenshin,simpread,5630,https://github.com/Kenshin/simpread
manojVivek,medium-unlimited,4640,https://github.com/manojVivek/medium-unlimited
dessant,buster,4542,https://github.com/dessant/buster
ajayyy,SponsorBlock,4238,https://github.com/ajayyy/SponsorBlock
altair-graphql,altair,4061,https://github.com/altair-graphql/altair
alyssaxuu,omni,4022,https://github.com/alyssaxuu/omni
zxlie,FeHelper,3973,https://github.com/zxlie/FeHelper
webclipper,web-clipper,3947,https://github.com/webclipper/web-clipper
openstyles,stylus,3776,https://github.com/openstyles/stylus
bilibili-helper,bilibili-helper-o,3743,https://github.com/bilibili-helper/bilibili-helper-o
dejan,rails_panel,3687,https://github.com/dejan/rails_panel
lmk123,crx-selection-translate,3642,https://github.com/lmk123/crx-selection-translate
Kholid060,automa,3566,https://github.com/Kholid060/automa
KartikTalwar,gmail.js,3466,https://github.com/KartikTalwar/gmail.js
honestbleeps,Reddit-Enhancement-Suite,3415,https://github.com/honestbleeps/Reddit-Enhancement-Suite
WorldBrain,Memex,3404,https://github.com/WorldBrain/Memex
vinta,pangu.js,3344,https://github.com/vinta/pangu.js
ronggang,PT-Plugin-Plus,3167,https://github.com/ronggang/PT-Plugin-Plus
