username,repo_name,stars,repo_url
electron,electron,100793,https://github.com/electron/electron
microsoft,playwright,35242,https://github.com/microsoft/playwright
FiloSottile,mkcert,34106,https://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,23798,https://github.com/iamadamdev/bypass-paywalls-chrome
ovity,octotree,21870,https://github.com/ovity/octotree
segmentio,nightmare,19122,https://github.com/segmentio/nightmare
jaywcjlove,linux-command,18115,https://github.com/jaywcjlove/linux-command
checkly,headless-recorder,13967,https://github.com/checkly/headless-recorder
prisma-archive,chromeless,13248,https://github.com/prisma-archive/chromeless
google,WebFundamentals,12827,https://github.com/google/WebFundamentals
casesandberg,react-color,10480,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,9613,https://github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,8797,https://github.com/crimx/ext-saladict
uBlock-LLC,uBlock,8066,https://github.com/uBlock-LLC/uBlock
gildas-lormeau,SingleFile,7568,https://github.com/gildas-lormeau/SingleFile
MetaMask,metamask-extension,7469,https://github.com/MetaMask/metamask-extension
chromedp,chromedp,7336,https://github.com/chromedp/chromedp
alvarcarto,url-to-pdf-api,6577,https://github.com/alvarcarto/url-to-pdf-api
kangvcar,InfoSpider,6067,https://github.com/kangvcar/InfoSpider
Kenshin,simpread,5630,https://github.com/Kenshin/simpread
yujiosaka,headless-chrome-crawler,5180,https://github.com/yujiosaka/headless-chrome-crawler
MontFerret,ferret,4914,https://github.com/MontFerret/ferret
firefox-devtools,debugger,4597,https://github.com/firefox-devtools/debugger
themerdev,themer,4590,https://github.com/themerdev/themer
burtonator,polar-bookshelf,4436,https://github.com/burtonator/polar-bookshelf
nieweidong,fetool,4341,https://github.com/nieweidong/fetool
moonD4rk,HackBrowserData,4272,https://github.com/moonD4rk/HackBrowserData
ajayyy,SponsorBlock,4238,https://github.com/ajayyy/SponsorBlock
browserless,chrome,4209,https://github.com/browserless/chrome
alyssaxuu,omni,4022,https://github.com/alyssaxuu/omni
