username,repo_name,stars,repo_url
metabase,metabase,27753,https://github.com/metabase/metabase
eclipse,deeplearning4j,12377,https://github.com/eclipse/deeplearning4j
LightTable,LightTable,11685,https://github.com/LightTable/LightTable
logseq,logseq,11619,https://github.com/logseq/logseq
penpot,penpot,9065,https://github.com/penpot/penpot
kanaka,mal,8482,https://github.com/kanaka/mal
lk-geimfari,awesomo,8303,https://github.com/lk-geimfari/awesomo
tonsky,datascript,4630,https://github.com/tonsky/datascript
reagent-project,reagent,4409,https://github.com/reagent-project/reagent
riemann,riemann,4105,https://github.com/riemann/riemann
weavejester,compojure,3919,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,3770,https://github.com/bbatsov/clojure-style-guide
izhangzhihao,intellij-rainbow-brackets,3672,https://github.com/izhangzhihao/intellij-rainbow-brackets
ring-clojure,ring,3412,https://github.com/ring-clojure/ring
status-im,status-react,3375,https://github.com/status-im/status-react
clojure-emacs,cider,3283,https://github.com/clojure-emacs/cider
viebel,klipse,2895,https://github.com/viebel/klipse
bhauman,lein-figwheel,2871,https://github.com/bhauman/lein-figwheel
tallesl,Rich-Hickey-fanclub,2819,https://github.com/tallesl/Rich-Hickey-fanclub
babashka,babashka,2619,https://github.com/babashka/babashka
twosigma,beakerx,2616,https://github.com/twosigma/beakerx
pedestal,pedestal,2476,https://github.com/pedestal/pedestal
clj-commons,aleph,2401,https://github.com/clj-commons/aleph
weavejester,hiccup,2361,https://github.com/weavejester/hiccup
razum2um,awesome-clojure,2316,https://github.com/razum2um/awesome-clojure
http-kit,http-kit,2254,https://github.com/http-kit/http-kit
defold,defold,2066,https://github.com/defold/defold
onyx-platform,onyx,2025,https://github.com/onyx-platform/onyx
anmonteiro,lumo,1872,https://github.com/anmonteiro/lumo
xtdb,xtdb,1755,https://github.com/xtdb/xtdb
