username,repo_name,stars,repo_url
realm,SwiftLint,15822,https://github.com/realm/SwiftLint
facebook,infer,13088,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,9652,https://github.com/analysis-tools-dev/static-analysis
checkstyle,checkstyle,6831,https://github.com/checkstyle/checkstyle
SonarSource,sonarqube,6585,https://github.com/SonarSource/sonarqube
Kristories,awesome-guidelines,6492,https://github.com/Kristories/awesome-guidelines
facebook,pyre-check,5787,https://github.com/facebook/pyre-check
reviewdog,reviewdog,4823,https://github.com/reviewdog/reviewdog
simplecov-ruby,simplecov,4393,https://github.com/simplecov-ruby/simplecov
detekt,detekt,4362,https://github.com/detekt/detekt
import-js,eslint-plugin-import,3881,https://github.com/import-js/eslint-plugin-import
PyCQA,pylint,3844,https://github.com/PyCQA/pylint
pmd,pmd,3772,https://github.com/pmd/pmd
phpro,grumphp,3731,https://github.com/phpro/grumphp
htmlhint,HTMLHint,2764,https://github.com/htmlhint/HTMLHint
kucherenko,jscpd,2481,https://github.com/kucherenko/jscpd
codeclimate,codeclimate,2291,https://github.com/codeclimate/codeclimate
trekhleb,state-of-the-art-shitcode,2285,https://github.com/trekhleb/state-of-the-art-shitcode
uber,piranha,1870,https://github.com/uber/piranha
wemake-services,wemake-python-styleguide,1802,https://github.com/wemake-services/wemake-python-styleguide
ehmicky,cross-platform-node-guide,1241,https://github.com/ehmicky/cross-platform-node-guide
Tencent,feflow,1128,https://github.com/Tencent/feflow
urish,typewiz,1083,https://github.com/urish/typewiz
Tencent,CodeAnalysis,1016,https://github.com/Tencent/CodeAnalysis
jakzal,phpqa,997,https://github.com/jakzal/phpqa
joshuaclayton,unused,875,https://github.com/joshuaclayton/unused
imgbot,Imgbot,874,https://github.com/imgbot/Imgbot
SonarSource,SonarJS,791,https://github.com/SonarSource/SonarJS
pdepend,pdepend,785,https://github.com/pdepend/pdepend
SonarSource,SonarTS,767,https://github.com/SonarSource/SonarTS
