username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,141937,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,42562,https://github.com/junegunn/fzf
sharkdp,bat,32921,https://github.com/sharkdp/bat
wagoodman,dive,30440,https://github.com/wagoodman/dive
sherlock-project,sherlock,29935,https://github.com/sherlock-project/sherlock
BurntSushi,ripgrep,29782,https://github.com/BurntSushi/ripgrep
google,zx,29608,https://github.com/google/zx
chubin,cheat.sh,28420,https://github.com/chubin/cheat.sh
cli,cli,27540,https://github.com/cli/cli
jesseduffield,lazygit,26177,https://github.com/jesseduffield/lazygit
spf13,cobra,25578,https://github.com/spf13/cobra
angular,angular-cli,25262,https://github.com/angular/angular-cli
alebcay,awesome-shell,23109,https://github.com/alebcay/awesome-shell
google,python-fire,22026,https://github.com/google/python-fire
tqdm,tqdm,21416,https://github.com/tqdm/tqdm
n8n-io,n8n,21385,https://github.com/n8n-io/n8n
sharkdp,fd,20913,https://github.com/sharkdp/fd
ibraheemdev,modern-unix,20851,https://github.com/ibraheemdev/modern-unix
vercel,pkg,19884,https://github.com/vercel/pkg
avajs,ava,19652,https://github.com/avajs/ava
chalk,chalk,18152,https://github.com/chalk/chalk
vadimdemedes,ink,17961,https://github.com/vadimdemedes/ink
urfave,cli,17459,https://github.com/urfave/cli
svg,svgo,17420,https://github.com/svg/svgo
gpakosz,.tmux,16129,https://github.com/gpakosz/.tmux
allinurl,goaccess,14445,https://github.com/allinurl/goaccess
FormidableLabs,webpack-dashboard,13862,https://github.com/FormidableLabs/webpack-dashboard
jarun,nnn,13642,https://github.com/jarun/nnn
infinitered,ignite,13592,https://github.com/infinitered/ignite
asdf-vm,asdf,13447,https://github.com/asdf-vm/asdf
