username,repo_name,stars,repo_url
vercel,next.js,82986,https://github.com/vercel/next.js
rust-lang,rust,64261,https://github.com/rust-lang/rust
webpack,webpack,60641,https://github.com/webpack/webpack
sveltejs,svelte,56585,https://github.com/sveltejs/svelte
gatsbyjs,gatsby,52533,https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,40591,https://github.com/JetBrains/kotlin
babel,babel,40547,https://github.com/babel/babel
parcel-bundler,parcel,40357,https://github.com/parcel-bundler/parcel
evanw,esbuild,30899,https://github.com/evanw/esbuild
vlang,v,27167,https://github.com/vlang/v
markedjs,marked,27137,https://github.com/markedjs/marked
swc-project,swc,20958,https://github.com/swc-project/swc
vercel,pkg,19884,https://github.com/vercel/pkg
v8,v8,19218,https://github.com/v8/v8
AssemblyScript,assemblyscript,13600,https://github.com/AssemblyScript/assemblyscript
ziglang,zig,12815,https://github.com/ziglang/zig
Konloch,bytecode-viewer,12784,https://github.com/Konloch/bytecode-viewer
nim-lang,Nim,12600,https://github.com/nim-lang/Nim
gopherjs,gopherjs,10941,https://github.com/gopherjs/gopherjs
RustPython,RustPython,10695,https://github.com/RustPython/RustPython
compiler-explorer,compiler-explorer,10303,https://github.com/compiler-explorer/compiler-explorer
goplus,gop,7963,https://github.com/goplus/gop
apache,tvm,7821,https://github.com/apache/tvm
numba,numba,7340,https://github.com/numba/numba
JetBrains,kotlin-native,7090,https://github.com/JetBrains/kotlin-native
elm,compiler,6776,https://github.com/elm/compiler
aalhour,awesome-compilers,6577,https://github.com/aalhour/awesome-compilers
Nuitka,Nuitka,6499,https://github.com/Nuitka/Nuitka
DoctorWkt,acwj,6150,https://github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,5720,https://github.com/rescript-lang/rescript-compiler
