username,repo_name,stars,repo_url
localstack,localstack,39043,https://github.com/localstack/localstack
harness,drone,24626,https://github.com/harness/drone
jenkinsci,jenkins,18575,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12265,https://github.com/auchenberg/volkswagen
openshift,origin,8071,https://github.com/openshift/origin
theonedev,onedev,6932,https://github.com/theonedev/onedev
gocd,gocd,6387,https://github.com/gocd/gocd
concourse,concourse,6219,https://github.com/concourse/concourse
buildbot,buildbot,4773,https://github.com/buildbot/buildbot
gaia-pipeline,gaia,4611,https://github.com/gaia-pipeline/gaia
Strider-CD,strider,4552,https://github.com/Strider-CD/strider
jenkins-x,jx,4105,https://github.com/jenkins-x/jx
ovh,cds,3762,https://github.com/ovh/cds
xcpretty,xcpretty,3715,https://github.com/xcpretty/xcpretty
hygieia,hygieia,3693,https://github.com/hygieia/hygieia
cake-build,cake,3232,https://github.com/cake-build/cake
werf,werf,3018,https://github.com/werf/werf
iterative,cml,3013,https://github.com/iterative/cml
ligurio,awesome-ci,2824,https://github.com/ligurio/awesome-ci
JamesIves,github-pages-deploy-action,2714,https://github.com/JamesIves/github-pages-deploy-action
tox-dev,tox,2647,https://github.com/tox-dev/tox
TheLartians,ModernCppStarter,2537,https://github.com/TheLartians/ModernCppStarter
dancryer,PHPCI,2435,https://github.com/dancryer/PHPCI
dreamans,syncd,2091,https://github.com/dreamans/syncd
shivammathur,setup-php,2040,https://github.com/shivammathur/setup-php
houndci,hound,1904,https://github.com/houndci/hound
fabric8io,fabric8,1778,https://github.com/fabric8io/fabric8
lastbackend,lastbackend,1550,https://github.com/lastbackend/lastbackend
Flagsmith,flagsmith,1502,https://github.com/Flagsmith/flagsmith
nuke-build,nuke,1424,https://github.com/nuke-build/nuke
